id,Date,AUD,EUR,NZD,BRL,CAD,CNY,HKD,INR,KRW,MXN,ZAR,SGD,DKK,JPY,MYR,NOK,SEK,GBP,LKR,CHF,TWD,THB
8874,2020-01-01,1.42469,0.891401,1.48453,4.019699,1.29755,6.9632,7.79275,71.1315,1154.970176,18.913803,14.00932,1.345301,6.659302,108.71802,4.0905,8.77443,9.345135,0.754802,182.30616,0.9677,29.847498,30.069874
8875,2020-01-02,1.431802,0.895185,1.49269,4.024897,1.29855,6.964402,7.78855,71.425001,1157.274963,18.845299,14.093023,1.347399,6.689505,108.545496,4.087501,8.793901,9.3659,0.760399,181.40539,0.9714,29.905025,30.149863
8876,2020-01-03,1.438963,0.896057,1.5006,4.066804,1.299025,6.965504,7.779265,71.76104,1165.860384,18.92045,14.297775,1.34976,6.697804,108.08504,4.102504,8.831035,9.399325,0.764497,181.401604,0.972302,30.050368,30.177504
8877,2020-01-04,1.438963,0.896098,1.5006,4.066804,1.299025,6.965504,7.779265,71.76104,1165.860384,18.92045,14.297775,1.34976,6.697804,108.08504,4.102504,8.831035,9.399325,0.764088,181.401604,0.972302,30.050368,30.177504
8878,2020-01-05,1.440125,0.89593,1.502765,4.057198,1.29886,6.965499,7.78175,71.761023,1165.860474,18.94729,14.32825,1.35008,6.695595,107.967983,4.102496,8.83823,9.411839,0.764575,181.4016,0.97153,30.049495,30.157024
8879,2020-01-06,1.441555,0.893136,1.499575,4.061898,1.296435,6.975974,7.77065,71.796955,1167.514972,18.84475,14.217696,1.34924,6.67534,108.408504,4.102496,8.794499,9.40497,0.759402,181.395402,0.968545,30.061991,30.150421
8880,2020-01-07,1.457694,0.896525,1.508225,4.067699,1.300365,6.945399,7.77755,72.195027,1167.459986,18.979202,14.370198,1.351385,6.699515,108.020974,4.0919,8.860445,9.47041,0.76261,181.30663,0.968915,30.000014,30.297321
8881,2020-01-08,1.454852,0.899865,1.502995,4.064398,1.303695,6.946204,7.776302,71.446898,1161.540089,18.82902,14.17139,1.350403,6.724375,109.0335,4.101499,8.86837,9.45315,0.763102,181.56576,0.973405,30.024963,30.349994
8882,2020-01-09,1.459255,0.900197,1.513525,4.093604,1.306305,6.952698,7.76683,71.19615,1158.80965,18.8498,14.227902,1.351125,6.72725,109.510499,4.090501,8.880595,9.4901,0.765198,181.28874,0.97327,29.958012,30.269937
8883,2020-01-10,1.449202,0.899304,1.506933,4.095804,1.30518,6.919704,7.76655,70.99104,1158.930384,18.794804,14.32744,1.34843,6.719804,109.460504,4.076604,8.886504,9.504155,0.765462,181.32795,0.972824,29.977038,30.22037
8884,2020-01-11,1.448856,0.899281,1.507955,4.080666,1.305404,6.919704,7.766304,70.960504,1158.930384,18.796204,14.35816,1.349038,6.72005,109.486504,4.076604,8.88655,9.502905,0.765433,180.91214,0.972446,29.977038,30.248038
8885,2020-01-12,1.449223,0.89958,1.506755,4.09295,1.30663,6.919298,7.76743,70.960501,1158.930104,18.800285,14.34015,1.348397,6.722639,109.567047,4.076597,8.892875,9.502841,0.766615,180.91214,0.97329,29.977013,30.229742
8886,2020-01-13,1.449569,0.89804,1.509225,4.147296,1.30565,6.893698,7.77175,70.728899,1154.940189,18.805101,14.393401,1.346897,6.71117,109.994987,4.060504,8.8913,9.466795,0.76997,181.55002,0.970902,29.889031,30.21014
8887,2020-01-14,1.450203,0.898604,1.513135,4.132902,1.306615,6.901298,7.777025,70.855104,1158.150287,18.808801,14.414599,1.347915,6.715185,109.858494,4.07398,8.876102,9.466007,0.767931,181.50053,0.967145,29.832501,30.279905
8888,2020-01-15,1.447735,0.89666,1.510965,4.175702,1.30405,6.8908,7.77175,70.723992,1158.780122,18.797702,14.38885,1.346098,6.700603,109.885498,4.072497,8.858397,9.460802,0.766898,181.39713,0.963755,29.948,30.288498
8889,2020-01-16,1.449486,0.897902,1.506635,4.185104,1.30415,6.879098,7.77185,70.955602,1159.769781,18.777979,14.41578,1.346675,6.709801,110.18498,4.064497,8.88927,9.490204,0.764702,181.204561,0.96503,29.914003,30.359771
8890,2020-01-17,1.454821,0.901665,1.512711,4.161904,1.306705,6.859704,7.76745,71.043704,1161.460384,18.659204,14.475265,1.34737,6.73875,110.13404,4.055104,8.910704,9.520205,0.768758,181.24349,0.967993,29.965038,30.415038
